id,firstSeen,lastSeen,dwellTime,engagementTime,crossLine
21368,2022-07-09 13:14:51,2022-07-09 13:15:39,48.568,22.347000000000016,1
21405,2022-07-09 13:17:57,2022-07-09 13:19:16,79.433,0,1
21406,2022-07-09 13:18:00,2022-07-09 13:19:17,77.132,0,1
21409,2022-07-09 13:18:01,2022-07-09 13:19:18,76.345,0,1
21418,2022-07-09 13:19:30,2022-07-09 13:20:26,55.968,34.08400000000004,1
21417,2022-07-09 13:19:30,2022-07-09 13:20:28,58.196,37.418000000000056,1
21185,2022-07-09 12:52:22,2022-07-09 13:23:57,1895.563,1655.9530000005009,1
21433,2022-07-09 13:21:01,2022-07-09 13:25:10,248.186,146.73599999999993,1
21479,2022-07-09 13:23:44,2022-07-09 13:26:25,160.758,68.73600000000012,1
21480,2022-07-09 13:23:45,2022-07-09 13:26:26,160.63,0,1
21525,2022-07-09 13:32:39,2022-07-09 13:33:54,75.563,3.9319999999999986,1
21570,2022-07-09 13:37:52,2022-07-09 13:40:18,146.08,64.0270000000001,1
21583,2022-07-09 13:43:26,2022-07-09 13:43:55,29.295,0,0
21597,2022-07-09 13:45:15,2022-07-09 13:47:26,131.399,78.51600000000006,0
21598,2022-07-09 13:45:18,2022-07-09 13:48:20,181.993,6.809000000000004,1
21627,2022-07-09 13:49:09,2022-07-09 13:50:38,88.998,0,1
21602,2022-07-09 13:45:28,2022-07-09 13:51:54,385.618,242.16000000000014,1
21648,2022-07-09 13:51:41,2022-07-09 13:52:45,63.969,0,1
21659,2022-07-09 13:53:33,2022-07-09 13:54:14,41.222,0,1
21639,2022-07-09 13:51:11,2022-07-09 13:55:36,265.484,120.45299999999979,1
21708,2022-07-09 13:59:20,2022-07-09 14:03:12,231.736,183.10899999999975,1
21737,2022-07-09 14:03:45,2022-07-09 14:05:35,109.707,76.14899999999999,1
21773,2022-07-09 14:06:40,2022-07-09 14:06:59,18.474,0,1
21781,2022-07-09 14:07:26,2022-07-09 14:08:46,79.629,39.141,1
21787,2022-07-09 14:07:31,2022-07-09 14:08:50,78.971,41.559000000000026,1
21788,2022-07-09 14:07:31,2022-07-09 14:08:44,72.479,3.9309999999999987,0
21714,2022-07-09 14:00:41,2022-07-09 14:09:18,516.886,230.7609999999997,1
21803,2022-07-09 14:08:14,2022-07-09 14:09:31,77.517,14.615000000000004,1
21770,2022-07-09 14:06:27,2022-07-09 14:10:08,220.987,53.41800000000004,1
21865,2022-07-09 14:14:14,2022-07-09 14:14:21,7.484,0,0
21859,2022-07-09 14:13:48,2022-07-09 14:16:02,133.827,0,1
21852,2022-07-09 14:12:42,2022-07-09 14:16:40,237.177,0,0
21833,2022-07-09 14:10:31,2022-07-09 14:17:52,440.993,118.95399999999962,1
21939,2022-07-09 14:19:01,2022-07-09 14:21:51,169.607,75.43600000000005,1
21742,2022-07-09 14:04:02,2022-07-09 14:22:58,1136.132,507.84999999997746,0
22010,2022-07-09 14:22:42,2022-07-09 14:23:12,29.229,0,1
21826,2022-07-09 14:10:12,2022-07-09 14:24:37,864.942,779.0180000000644,1
21827,2022-07-09 14:10:16,2022-07-09 14:24:36,860.549,830.1570000000874,1
22029,2022-07-09 14:24:23,2022-07-09 14:25:10,46.807,0,1
22027,2022-07-09 14:23:59,2022-07-09 14:26:53,174.399,0,1
22055,2022-07-09 14:26:27,2022-07-09 14:27:12,45.218,0,1
21867,2022-07-09 14:14:15,2022-07-09 14:27:37,801.838,148.9159999999995,1
22057,2022-07-09 14:26:49,2022-07-09 14:27:38,48.805,0,1
22056,2022-07-09 14:26:48,2022-07-09 14:27:39,51.511,0,1
22067,2022-07-09 14:27:35,2022-07-09 14:27:43,8.453,0,1
