id,firstSeen,lastSeen,dwellTime,engagementTime,crossLine
27513,2022-07-03 11:00:44,2022-07-03 11:01:46,62.574,0.0,1
27507,2022-07-03 11:00:22,2022-07-03 11:03:05,163.309,0.0,1
27518,2022-07-03 11:01:13,2022-07-03 11:03:47,154.196,0,1
27529,2022-07-03 11:04:03,2022-07-03 11:04:14,11.263,0,0
27546,2022-07-03 11:05:19,2022-07-03 11:06:44,84.796,0.0,1
27574,2022-07-03 11:11:13,2022-07-03 11:11:53,40.169,0.0,1
27592,2022-07-03 11:13:13,2022-07-03 11:14:05,51.706,0,1
27589,2022-07-03 11:13:11,2022-07-03 11:14:09,57.344,0,1
27601,2022-07-03 11:14:27,2022-07-03 11:15:25,57.738,0,1
27619,2022-07-03 11:17:55,2022-07-03 11:18:26,31.387,0.0,1
27646,2022-07-03 11:20:31,2022-07-03 11:21:52,81.341,0.0,0
27454,2022-07-03 10:59:53,2022-07-03 11:22:37,1364.253,0.0,0
27668,2022-07-03 11:23:02,2022-07-03 11:23:36,33.88,0.0,0
27645,2022-07-03 11:20:30,2022-07-03 11:23:52,202.44,0.0,1
27674,2022-07-03 11:24:06,2022-07-03 11:24:32,25.37,0.0,1
27660,2022-07-03 11:22:15,2022-07-03 11:26:01,226.238,0.0,1
27661,2022-07-03 11:22:20,2022-07-03 11:26:00,220.343,0.0,1
27662,2022-07-03 11:22:20,2022-07-03 11:26:02,221.907,0.0,1
27685,2022-07-03 11:27:28,2022-07-03 11:27:39,11.594,0.0,0
27639,2022-07-03 11:20:01,2022-07-03 11:28:00,479.531,0.0,1
27640,2022-07-03 11:20:04,2022-07-03 11:28:01,477.553,0.0,1
27683,2022-07-03 11:26:27,2022-07-03 11:28:45,137.946,0.0,1
27702,2022-07-03 11:28:33,2022-07-03 11:28:43,9.905,0.0,0
27700,2022-07-03 11:28:32,2022-07-03 11:31:08,155.926,0.0,1
27684,2022-07-03 11:27:27,2022-07-03 11:31:17,230.103,0.0,1
27686,2022-07-03 11:27:46,2022-07-03 11:34:50,423.495,0.0,1
27726,2022-07-03 11:29:50,2022-07-03 11:34:51,301.589,0.0,1
27725,2022-07-03 11:29:49,2022-07-03 11:34:53,303.833,0.0,1
27763,2022-07-03 11:31:58,2022-07-03 11:37:28,330.435,0.0,1
27765,2022-07-03 11:31:59,2022-07-03 11:37:32,332.587,0.0,1
27766,2022-07-03 11:32:04,2022-07-03 11:37:31,327.551,0.0,1
27782,2022-07-03 11:36:05,2022-07-03 11:37:41,95.871,0,1
27812,2022-07-03 11:40:00,2022-07-03 11:41:43,102.891,0,1
27681,2022-07-03 11:25:36,2022-07-03 11:42:33,1017.054,0.0,1
27826,2022-07-03 11:41:22,2022-07-03 11:44:56,213.125,0.0,1
27829,2022-07-03 11:41:24,2022-07-03 11:44:53,209.522,0.0,1
27566,2022-07-03 11:10:32,2022-07-03 11:49:53,2361.131,0.0,1
27567,2022-07-03 11:10:34,2022-07-03 11:49:59,2365.262,0.0,1
27912,2022-07-03 11:49:33,2022-07-03 11:50:22,48.507,0.0,0
27889,2022-07-03 11:49:08,2022-07-03 11:51:27,139.594,0.0,1
28037,2022-07-03 11:56:00,2022-07-03 11:56:27,26.731,0,1
28045,2022-07-03 11:57:29,2022-07-03 11:59:51,142.083,0.0,1
28052,2022-07-03 11:58:44,2022-07-03 12:02:50,245.498,0.0,1
27906,2022-07-03 11:49:29,2022-07-03 12:03:03,813.955,0.0,1
27911,2022-07-03 11:49:32,2022-07-03 12:03:01,809.172,0.0,1
28084,2022-07-03 12:01:50,2022-07-03 12:03:24,94.639,0.0,1
28096,2022-07-03 12:02:44,2022-07-03 12:03:39,55.191,0.0,1
28119,2022-07-03 12:03:46,2022-07-03 12:04:21,35.851,0.0,1
28129,2022-07-03 12:04:45,2022-07-03 12:05:24,38.728,0.0,1
28066,2022-07-03 12:00:24,2022-07-03 12:05:41,316.815,0.0,1
27670,2022-07-03 11:23:11,2022-07-03 12:06:54,2622.618,0.0,1
28146,2022-07-03 12:06:47,2022-07-03 12:09:07,139.525,0.0,1
28178,2022-07-03 12:09:37,2022-07-03 12:10:45,67.696,0.0,1
28125,2022-07-03 12:04:18,2022-07-03 12:10:59,401.089,0.0,0
28101,2022-07-03 12:02:54,2022-07-03 12:12:19,564.333,0.0,1
28102,2022-07-03 12:02:56,2022-07-03 12:12:20,563.92,0.0,1
28127,2022-07-03 12:04:32,2022-07-03 12:12:31,478.797,0.0,1
28164,2022-07-03 12:08:21,2022-07-03 12:12:48,267.183,0.0,1
28194,2022-07-03 12:10:30,2022-07-03 12:12:49,139.311,0.0,1
28074,2022-07-03 12:00:46,2022-07-03 12:16:52,965.737,0.0,0
28269,2022-07-03 12:19:07,2022-07-03 12:19:39,32.824,0.0,1
28311,2022-07-03 12:20:33,2022-07-03 12:21:24,51.252,0.0,0
28315,2022-07-03 12:21:08,2022-07-03 12:24:36,208.132,0.0,0
28377,2022-07-03 12:27:38,2022-07-03 12:28:44,66.053,0.0,1
28383,2022-07-03 12:27:55,2022-07-03 12:28:45,50.062,0.0,0
28437,2022-07-03 12:34:44,2022-07-03 12:35:52,68.227,0.0,1
28465,2022-07-03 12:44:02,2022-07-03 12:44:06,4.192,0.0,0
28459,2022-07-03 12:43:43,2022-07-03 12:44:09,25.891,0.0,0
28473,2022-07-03 12:45:13,2022-07-03 12:45:53,40.231,0,0
28450,2022-07-03 12:42:52,2022-07-03 12:46:12,199.878,0.0,1
28385,2022-07-03 12:27:56,2022-07-03 12:46:30,1114.632,0.0,0
28381,2022-07-03 12:27:54,2022-07-03 12:48:29,1234.964,0.0,1
28501,2022-07-03 12:47:15,2022-07-03 12:49:10,114.893,0.0,1
28462,2022-07-03 12:43:50,2022-07-03 12:53:22,572.843,0.0,1
28532,2022-07-03 12:52:38,2022-07-03 12:53:21,43.325,0.0,1
28561,2022-07-03 12:56:57,2022-07-03 12:57:52,54.712,0.0,1
28563,2022-07-03 12:57:06,2022-07-03 12:57:51,44.163,0.0,1
28581,2022-07-03 12:59:57,2022-07-03 13:01:12,75.49,0.0,1
28582,2022-07-03 13:00:16,2022-07-03 13:02:03,106.897,0.0,1
28576,2022-07-03 12:59:19,2022-07-03 13:02:12,173.597,0.0,1
28605,2022-07-03 13:02:03,2022-07-03 13:02:13,9.172,0.0,0
28589,2022-07-03 13:00:58,2022-07-03 13:02:33,95.02,0.0,0
28609,2022-07-03 13:02:12,2022-07-03 13:04:02,109.907,0.0,0
28608,2022-07-03 13:02:11,2022-07-03 13:05:04,172.304,0.0,1
28606,2022-07-03 13:02:10,2022-07-03 13:05:44,213.511,0.0,1
28554,2022-07-03 12:54:16,2022-07-03 13:06:25,729.619,0.0,1
28660,2022-07-03 13:04:46,2022-07-03 13:06:48,122.027,17.813000000000006,1
28653,2022-07-03 13:04:33,2022-07-03 13:08:20,227.355,79.44399999999997,1
28705,2022-07-03 13:08:50,2022-07-03 13:09:27,37.101,1.6509999999999996,1
28541,2022-07-03 12:57:22,2022-07-03 13:16:49,1167.523,512.8089999999822,0
28601,2022-07-03 13:01:28,2022-07-03 13:18:06,997.586,172.30999999999935,1
28580,2022-07-03 12:59:55,2022-07-03 13:18:14,1099.035,1077.2630000001147,1
28750,2022-07-03 13:14:36,2022-07-03 13:18:17,221.776,90.96599999999971,1
28776,2022-07-03 13:18:24,2022-07-03 13:19:02,38.275,10.404000000000003,1
