occupants,timeStart,timeEnd,duration
2,2022-07-05 14:06:33,2022-07-05 14:07:10,38
1,2022-07-05 14:07:11,2022-07-05 14:11:27,257
2,2022-07-05 14:11:28,2022-07-05 14:15:45,258
1,2022-07-05 14:15:46,2022-07-05 14:19:28,223
0,2022-07-05 14:19:29,2022-07-05 14:20:48,80
1,2022-07-05 14:20:49,2022-07-05 14:22:35,107
2,2022-07-05 14:22:36,2022-07-05 14:24:27,112
1,2022-07-05 14:24:28,2022-07-05 14:26:49,142
2,2022-07-05 14:26:50,2022-07-05 14:27:48,59
3,2022-07-05 14:27:49,2022-07-05 14:29:17,89
4,2022-07-05 14:29:18,2022-07-05 14:29:25,8
3,2022-07-05 14:29:26,2022-07-05 14:29:45,20
2,2022-07-05 14:29:46,2022-07-05 14:29:52,7
3,2022-07-05 14:29:53,2022-07-05 14:29:53,1
4,2022-07-05 14:29:54,2022-07-05 14:29:58,5
5,2022-07-05 14:29:59,2022-07-05 14:30:05,7
4,2022-07-05 14:30:06,2022-07-05 14:30:06,1
3,2022-07-05 14:30:07,2022-07-05 14:30:18,12
4,2022-07-05 14:30:19,2022-07-05 14:31:31,73
1,2022-07-05 14:31:32,2022-07-05 14:31:32,1
0,2022-07-05 14:31:33,2022-07-05 14:33:48,136
1,2022-07-05 14:33:49,2022-07-05 14:40:13,385
2,2022-07-05 14:40:14,2022-07-05 14:40:16,3
1,2022-07-05 14:40:17,2022-07-05 14:43:21,185
0,2022-07-05 14:43:22,2022-07-05 14:45:08,107
1,2022-07-05 14:45:09,2022-07-05 14:46:01,53
2,2022-07-05 14:46:02,2022-07-05 14:46:28,27
1,2022-07-05 14:46:29,2022-07-05 14:47:04,36
2,2022-07-05 14:47:05,2022-07-05 14:47:22,18
3,2022-07-05 14:47:23,2022-07-05 14:47:28,6
2,2022-07-05 14:47:29,2022-07-05 14:47:47,19
3,2022-07-05 14:47:48,2022-07-05 14:48:03,16
2,2022-07-05 14:48:04,2022-07-05 14:48:23,20
3,2022-07-05 14:48:24,2022-07-05 14:48:29,6
4,2022-07-05 14:48:30,2022-07-05 14:48:48,19
5,2022-07-05 14:48:49,2022-07-05 14:49:06,18
4,2022-07-05 14:49:07,2022-07-05 14:49:58,52
3,2022-07-05 14:49:59,2022-07-05 14:50:01,3
2,2022-07-05 14:50:02,2022-07-05 14:50:03,2
1,2022-07-05 14:50:04,2022-07-05 14:50:05,2
0,2022-07-05 14:50:06,2022-07-05 14:50:19,14
1,2022-07-05 14:50:20,2022-07-05 14:51:36,77
0,2022-07-05 14:51:37,2022-07-05 14:52:02,26
1,2022-07-05 14:52:03,2022-07-05 14:52:08,6
2,2022-07-05 14:52:09,2022-07-05 14:53:25,77
3,2022-07-05 14:53:26,2022-07-05 14:53:27,2
4,2022-07-05 14:53:28,2022-07-05 14:54:07,40
