occupants,timeStart,timeEnd,duration
2,2022-07-05 12:48:49,2022-07-05 12:49:37,49
3,2022-07-05 12:49:38,2022-07-05 12:49:38,1
4,2022-07-05 12:49:39,2022-07-05 12:49:42,4
3,2022-07-05 12:49:43,2022-07-05 12:50:17,35
2,2022-07-05 12:50:18,2022-07-05 12:52:09,112
3,2022-07-05 12:52:10,2022-07-05 12:52:10,1
4,2022-07-05 12:52:11,2022-07-05 12:52:57,47
5,2022-07-05 12:52:58,2022-07-05 12:53:10,13
6,2022-07-05 12:53:11,2022-07-05 12:55:38,148
5,2022-07-05 12:55:39,2022-07-05 12:57:56,138
4,2022-07-05 12:57:57,2022-07-05 13:01:16,200
5,2022-07-05 13:01:17,2022-07-05 13:01:25,9
6,2022-07-05 13:01:26,2022-07-05 13:02:27,62
4,2022-07-05 13:02:28,2022-07-05 13:03:02,35
5,2022-07-05 13:03:03,2022-07-05 13:03:08,6
4,2022-07-05 13:03:09,2022-07-05 13:04:57,109
5,2022-07-05 13:04:58,2022-07-05 13:05:52,55
6,2022-07-05 13:05:53,2022-07-05 13:08:02,130
5,2022-07-05 13:08:03,2022-07-05 13:09:59,117
4,2022-07-05 13:10:00,2022-07-05 13:10:06,7
5,2022-07-05 13:10:07,2022-07-05 13:10:42,36
4,2022-07-05 13:10:43,2022-07-05 13:13:15,153
3,2022-07-05 13:13:16,2022-07-05 13:16:26,191
2,2022-07-05 13:16:27,2022-07-05 13:17:18,52
1,2022-07-05 13:17:19,2022-07-05 13:24:36,438
3,2022-07-05 13:24:37,2022-07-05 13:25:07,31
4,2022-07-05 13:25:08,2022-07-05 13:25:22,15
3,2022-07-05 13:25:23,2022-07-05 13:25:23,1
2,2022-07-05 13:25:24,2022-07-05 13:25:29,6
0,2022-07-05 13:25:30,2022-07-05 13:29:15,226
1,2022-07-05 13:29:16,2022-07-05 13:31:59,164
0,2022-07-05 13:32:00,2022-07-05 13:32:01,2
1,2022-07-05 13:32:02,2022-07-05 13:36:53,292
2,2022-07-05 13:36:54,2022-07-05 13:38:35,102
0,2022-07-05 13:38:36,2022-07-05 13:40:12,97
1,2022-07-05 13:40:13,2022-07-05 13:40:15,3
2,2022-07-05 13:40:16,2022-07-05 13:41:06,51
3,2022-07-05 13:41:07,2022-07-05 13:42:20,74
4,2022-07-05 13:42:21,2022-07-05 13:42:58,38
3,2022-07-05 13:42:59,2022-07-05 13:43:02,4
4,2022-07-05 13:43:03,2022-07-05 13:43:15,13
3,2022-07-05 13:43:16,2022-07-05 13:43:52,37
4,2022-07-05 13:43:53,2022-07-05 13:44:22,30
3,2022-07-05 13:44:23,2022-07-05 13:47:47,205
4,2022-07-05 13:47:48,2022-07-05 13:59:51,724
5,2022-07-05 13:59:52,2022-07-05 14:00:00,9
6,2022-07-05 14:00:01,2022-07-05 14:01:46,106
5,2022-07-05 14:01:47,2022-07-05 14:02:23,37
4,2022-07-05 14:02:24,2022-07-05 14:04:36,133
5,2022-07-05 14:04:37,2022-07-05 14:05:17,41
6,2022-07-05 14:05:18,2022-07-05 14:05:27,10
5,2022-07-05 14:05:28,2022-07-05 14:06:28,61
6,2022-07-05 14:06:29,2022-07-05 14:06:32,4
5,2022-07-05 14:06:33,2022-07-05 14:06:41,9
4,2022-07-05 14:06:42,2022-07-05 14:06:43,2
5,2022-07-05 14:06:44,2022-07-05 14:07:10,27
4,2022-07-05 14:07:11,2022-07-05 14:07:18,8
3,2022-07-05 14:07:19,2022-07-05 14:11:27,249
4,2022-07-05 14:11:28,2022-07-05 14:15:45,258
3,2022-07-05 14:15:46,2022-07-05 14:16:38,53
2,2022-07-05 14:16:39,2022-07-05 14:17:38,60
1,2022-07-05 14:17:39,2022-07-05 14:19:28,110
0,2022-07-05 14:19:29,2022-07-05 14:20:48,80
1,2022-07-05 14:20:49,2022-07-05 14:22:35,107
2,2022-07-05 14:22:36,2022-07-05 14:24:27,112
1,2022-07-05 14:24:28,2022-07-05 14:26:49,142
2,2022-07-05 14:26:50,2022-07-05 14:27:48,59
3,2022-07-05 14:27:49,2022-07-05 14:29:17,89
4,2022-07-05 14:29:18,2022-07-05 14:29:25,8
3,2022-07-05 14:29:26,2022-07-05 14:29:45,20
2,2022-07-05 14:29:46,2022-07-05 14:29:52,7
3,2022-07-05 14:29:53,2022-07-05 14:29:53,1
4,2022-07-05 14:29:54,2022-07-05 14:29:58,5
5,2022-07-05 14:29:59,2022-07-05 14:30:05,7
4,2022-07-05 14:30:06,2022-07-05 14:30:06,1
3,2022-07-05 14:30:07,2022-07-05 14:30:18,12
4,2022-07-05 14:30:19,2022-07-05 14:31:31,73
1,2022-07-05 14:31:32,2022-07-05 14:31:32,1
0,2022-07-05 14:31:33,2022-07-05 14:32:39,67
1,2022-07-05 14:32:40,2022-07-05 14:32:41,2
0,2022-07-05 14:32:42,2022-07-05 14:33:48,67
1,2022-07-05 14:33:49,2022-07-05 14:34:35,47
2,2022-07-05 14:34:36,2022-07-05 14:34:55,20
1,2022-07-05 14:34:56,2022-07-05 14:34:56,1
2,2022-07-05 14:34:57,2022-07-05 14:35:00,4
1,2022-07-05 14:35:01,2022-07-05 14:35:01,1
2,2022-07-05 14:35:02,2022-07-05 14:35:13,12
1,2022-07-05 14:35:14,2022-07-05 14:35:21,8
2,2022-07-05 14:35:22,2022-07-05 14:36:24,63
1,2022-07-05 14:36:25,2022-07-05 14:36:33,9
2,2022-07-05 14:36:34,2022-07-05 14:37:23,50
1,2022-07-05 14:37:24,2022-07-05 14:37:32,9
2,2022-07-05 14:37:33,2022-07-05 14:37:39,7
1,2022-07-05 14:37:40,2022-07-05 14:40:13,154
2,2022-07-05 14:40:14,2022-07-05 14:40:16,3
1,2022-07-05 14:40:17,2022-07-05 14:43:21,185
0,2022-07-05 14:43:22,2022-07-05 14:45:08,107
2,2022-07-05 14:45:09,2022-07-05 14:46:01,53
3,2022-07-05 14:46:02,2022-07-05 14:46:28,27
2,2022-07-05 14:46:29,2022-07-05 14:47:04,36
3,2022-07-05 14:47:05,2022-07-05 14:47:18,14
2,2022-07-05 14:47:19,2022-07-05 14:47:22,4
3,2022-07-05 14:47:23,2022-07-05 14:47:28,6
2,2022-07-05 14:47:29,2022-07-05 14:47:47,19
3,2022-07-05 14:47:48,2022-07-05 14:48:03,16
2,2022-07-05 14:48:04,2022-07-05 14:48:23,20
3,2022-07-05 14:48:24,2022-07-05 14:48:29,6
4,2022-07-05 14:48:30,2022-07-05 14:48:48,19
5,2022-07-05 14:48:49,2022-07-05 14:49:06,18
4,2022-07-05 14:49:07,2022-07-05 14:49:54,48
5,2022-07-05 14:49:55,2022-07-05 14:49:58,4
4,2022-07-05 14:49:59,2022-07-05 14:50:01,3
3,2022-07-05 14:50:02,2022-07-05 14:50:03,2
2,2022-07-05 14:50:04,2022-07-05 14:50:05,2
1,2022-07-05 14:50:06,2022-07-05 14:50:19,14
2,2022-07-05 14:50:20,2022-07-05 14:51:36,77
1,2022-07-05 14:51:37,2022-07-05 14:51:38,2
2,2022-07-05 14:51:39,2022-07-05 14:51:59,21
1,2022-07-05 14:52:00,2022-07-05 14:52:02,3
2,2022-07-05 14:52:03,2022-07-05 14:52:08,6
3,2022-07-05 14:52:09,2022-07-05 14:52:22,14
4,2022-07-05 14:52:23,2022-07-05 14:53:25,63
5,2022-07-05 14:53:26,2022-07-05 14:53:27,2
6,2022-07-05 14:53:28,2022-07-05 14:54:07,40
5,2022-07-05 14:54:08,2022-07-05 14:54:09,2
4,2022-07-05 14:54:10,2022-07-05 14:54:35,26
3,2022-07-05 14:54:36,2022-07-05 14:54:41,6
2,2022-07-05 14:54:42,2022-07-05 14:55:05,24
1,2022-07-05 14:55:06,2022-07-05 14:55:35,30
2,2022-07-05 14:55:36,2022-07-05 14:55:38,3
4,2022-07-05 14:55:39,2022-07-05 14:55:44,6
5,2022-07-05 14:55:45,2022-07-05 14:55:46,2
4,2022-07-05 14:55:47,2022-07-05 14:55:49,3
5,2022-07-05 14:55:50,2022-07-05 14:55:50,1
3,2022-07-05 14:55:51,2022-07-05 14:56:39,49
4,2022-07-05 14:56:40,2022-07-05 14:57:06,27
3,2022-07-05 14:57:07,2022-07-05 14:58:11,65
4,2022-07-05 14:58:12,2022-07-05 14:58:36,25
3,2022-07-05 14:58:37,2022-07-05 15:00:17,101
2,2022-07-05 15:00:18,2022-07-05 15:00:21,4
1,2022-07-05 15:00:22,2022-07-05 15:00:31,10
0,2022-07-05 15:00:32,2022-07-05 15:00:50,19
1,2022-07-05 15:00:51,2022-07-05 15:02:21,91
2,2022-07-05 15:02:22,2022-07-05 15:03:19,58
1,2022-07-05 15:03:20,2022-07-05 15:04:00,41
2,2022-07-05 15:04:01,2022-07-05 15:04:02,2
1,2022-07-05 15:04:03,2022-07-05 15:04:27,25
2,2022-07-05 15:04:28,2022-07-05 15:05:45,78
3,2022-07-05 15:05:46,2022-07-05 15:06:10,25
2,2022-07-05 15:06:11,2022-07-05 15:08:34,144
1,2022-07-05 15:08:35,2022-07-05 15:12:13,219
2,2022-07-05 15:12:14,2022-07-05 15:12:33,20
3,2022-07-05 15:12:34,2022-07-05 15:12:56,23
2,2022-07-05 15:12:57,2022-07-05 15:13:25,29
3,2022-07-05 15:13:26,2022-07-05 15:13:41,16
4,2022-07-05 15:13:42,2022-07-05 15:14:06,25
5,2022-07-05 15:14:07,2022-07-05 15:14:23,17
4,2022-07-05 15:14:24,2022-07-05 15:14:32,9
3,2022-07-05 15:14:33,2022-07-05 15:14:50,18
2,2022-07-05 15:14:51,2022-07-05 15:15:16,26
1,2022-07-05 15:15:17,2022-07-05 15:15:45,29
2,2022-07-05 15:15:46,2022-07-05 15:15:56,11
1,2022-07-05 15:15:57,2022-07-05 15:16:11,15
2,2022-07-05 15:16:12,2022-07-05 15:16:22,11
3,2022-07-05 15:16:23,2022-07-05 15:16:36,14
2,2022-07-05 15:16:37,2022-07-05 15:16:53,17
1,2022-07-05 15:16:54,2022-07-05 15:17:54,61
2,2022-07-05 15:17:55,2022-07-05 15:20:00,126
3,2022-07-05 15:20:01,2022-07-05 15:20:20,20
2,2022-07-05 15:20:21,2022-07-05 15:20:38,18
3,2022-07-05 15:20:39,2022-07-05 15:21:18,40
2,2022-07-05 15:21:19,2022-07-05 15:24:46,208
3,2022-07-05 15:24:47,2022-07-05 15:24:48,2
4,2022-07-05 15:24:49,2022-07-05 15:24:50,2
3,2022-07-05 15:24:51,2022-07-05 15:25:53,63
4,2022-07-05 15:25:54,2022-07-05 15:26:38,45
3,2022-07-05 15:26:39,2022-07-05 15:30:06,208
2,2022-07-05 15:30:07,2022-07-05 15:33:06,180
1,2022-07-05 15:33:07,2022-07-05 15:34:07,61
2,2022-07-05 15:34:08,2022-07-05 15:34:17,10
3,2022-07-05 15:34:18,2022-07-05 15:35:19,62
2,2022-07-05 15:35:20,2022-07-05 15:35:47,28
1,2022-07-05 15:35:48,2022-07-05 15:40:23,276
0,2022-07-05 15:40:24,2022-07-05 15:40:25,2
1,2022-07-05 15:40:26,2022-07-05 15:40:38,13
0,2022-07-05 15:40:39,2022-07-05 15:42:02,84
1,2022-07-05 15:42:03,2022-07-05 15:42:33,31
0,2022-07-05 15:42:34,2022-07-05 15:44:18,105
1,2022-07-05 15:44:19,2022-07-05 15:44:20,2
2,2022-07-05 15:44:21,2022-07-05 15:46:24,124
3,2022-07-05 15:46:25,2022-07-05 15:46:25,1
2,2022-07-05 15:46:26,2022-07-05 15:47:34,69
3,2022-07-05 15:47:35,2022-07-05 15:47:35,1
2,2022-07-05 15:47:36,2022-07-05 15:47:39,4
1,2022-07-05 15:47:40,2022-07-05 15:47:40,1
0,2022-07-05 15:47:41,2022-07-05 15:48:46,66
1,2022-07-05 15:48:47,2022-07-05 15:49:40,54
0,2022-07-05 15:49:41,2022-07-05 15:51:15,95
1,2022-07-05 15:51:16,2022-07-05 15:52:58,103
2,2022-07-05 15:52:59,2022-07-05 15:53:31,33
3,2022-07-05 15:53:32,2022-07-05 15:53:33,2
4,2022-07-05 15:53:34,2022-07-05 15:53:45,12
5,2022-07-05 15:53:46,2022-07-05 15:55:06,81
6,2022-07-05 15:55:07,2022-07-05 15:55:14,8
5,2022-07-05 15:55:15,2022-07-05 15:55:58,44
6,2022-07-05 15:55:59,2022-07-05 15:56:04,6
5,2022-07-05 15:56:05,2022-07-05 15:57:43,99
4,2022-07-05 15:57:44,2022-07-05 15:59:02,79
5,2022-07-05 15:59:03,2022-07-05 15:59:04,2
4,2022-07-05 15:59:05,2022-07-05 15:59:55,51
5,2022-07-05 15:59:56,2022-07-05 16:00:58,63
6,2022-07-05 16:00:59,2022-07-05 16:01:03,5
5,2022-07-05 16:01:04,2022-07-05 16:01:15,12
7,2022-07-05 16:01:16,2022-07-05 16:01:24,9
6,2022-07-05 16:01:25,2022-07-05 16:02:24,60
7,2022-07-05 16:02:25,2022-07-05 16:03:00,36
6,2022-07-05 16:03:01,2022-07-05 16:03:49,49
7,2022-07-05 16:03:50,2022-07-05 16:04:11,22
8,2022-07-05 16:04:12,2022-07-05 16:04:27,16
9,2022-07-05 16:04:28,2022-07-05 16:04:32,5
10,2022-07-05 16:04:33,2022-07-05 16:05:53,81
12,2022-07-05 16:05:54,2022-07-05 16:06:56,63
11,2022-07-05 16:06:57,2022-07-05 16:07:10,14
12,2022-07-05 16:07:11,2022-07-05 16:07:40,30
11,2022-07-05 16:07:41,2022-07-05 16:09:14,94
12,2022-07-05 16:09:15,2022-07-05 16:09:17,3
13,2022-07-05 16:09:18,2022-07-05 16:09:21,4
14,2022-07-05 16:09:22,2022-07-05 16:09:36,15
13,2022-07-05 16:09:37,2022-07-05 16:09:50,14
11,2022-07-05 16:09:51,2022-07-05 16:09:55,5
10,2022-07-05 16:09:56,2022-07-05 16:10:07,12
9,2022-07-05 16:10:08,2022-07-05 16:10:08,1
8,2022-07-05 16:10:09,2022-07-05 16:11:56,108
9,2022-07-05 16:11:57,2022-07-05 16:12:12,16
8,2022-07-05 16:12:13,2022-07-05 16:12:56,44
6,2022-07-05 16:12:57,2022-07-05 16:15:04,128
7,2022-07-05 16:15:05,2022-07-05 16:15:08,4
8,2022-07-05 16:15:09,2022-07-05 16:15:20,12
6,2022-07-05 16:15:21,2022-07-05 16:15:51,31
7,2022-07-05 16:15:52,2022-07-05 16:16:07,16
8,2022-07-05 16:16:08,2022-07-05 16:16:11,4
9,2022-07-05 16:16:12,2022-07-05 16:16:26,15
10,2022-07-05 16:16:27,2022-07-05 16:16:32,6
8,2022-07-05 16:16:33,2022-07-05 16:17:03,31
7,2022-07-05 16:17:04,2022-07-05 16:18:20,77
6,2022-07-05 16:18:21,2022-07-05 16:18:21,1
5,2022-07-05 16:18:22,2022-07-05 16:18:58,37
6,2022-07-05 16:18:59,2022-07-05 16:19:19,21
5,2022-07-05 16:19:20,2022-07-05 16:19:20,1
4,2022-07-05 16:19:21,2022-07-05 16:19:42,22
5,2022-07-05 16:19:43,2022-07-05 16:20:29,47
4,2022-07-05 16:20:30,2022-07-05 16:20:38,9
5,2022-07-05 16:20:39,2022-07-05 16:20:41,3
6,2022-07-05 16:20:42,2022-07-05 16:20:47,6
5,2022-07-05 16:20:48,2022-07-05 16:20:51,4
4,2022-07-05 16:20:52,2022-07-05 16:23:35,164
5,2022-07-05 16:23:36,2022-07-05 16:23:36,1
6,2022-07-05 16:23:37,2022-07-05 16:23:37,1
5,2022-07-05 16:23:38,2022-07-05 16:24:39,62
4,2022-07-05 16:24:40,2022-07-05 16:25:58,79
3,2022-07-05 16:25:59,2022-07-05 16:26:03,5
2,2022-07-05 16:26:04,2022-07-05 16:31:33,330
3,2022-07-05 16:31:34,2022-07-05 16:31:43,10
4,2022-07-05 16:31:44,2022-07-05 16:32:38,55
3,2022-07-05 16:32:39,2022-07-05 16:33:00,22
2,2022-07-05 16:33:01,2022-07-05 16:33:23,23
3,2022-07-05 16:33:24,2022-07-05 16:33:49,26
2,2022-07-05 16:33:50,2022-07-05 16:33:52,3
3,2022-07-05 16:33:53,2022-07-05 16:34:58,66
2,2022-07-05 16:34:59,2022-07-05 16:35:53,55
1,2022-07-05 16:35:54,2022-07-05 16:41:02,309
2,2022-07-05 16:41:03,2022-07-05 16:41:23,21
1,2022-07-05 16:41:24,2022-07-05 16:43:49,146
3,2022-07-05 16:43:50,2022-07-05 16:43:50,1
2,2022-07-05 16:43:51,2022-07-05 16:44:20,30
1,2022-07-05 16:44:21,2022-07-05 16:46:50,150
2,2022-07-05 16:46:51,2022-07-05 16:49:21,151
3,2022-07-05 16:49:22,2022-07-05 16:49:33,12
2,2022-07-05 16:49:34,2022-07-05 16:49:36,3
1,2022-07-05 16:49:37,2022-07-05 16:50:03,27
2,2022-07-05 16:50:04,2022-07-05 16:50:10,7
3,2022-07-05 16:50:11,2022-07-05 16:51:09,59
4,2022-07-05 16:51:10,2022-07-05 16:51:12,3
5,2022-07-05 16:51:13,2022-07-05 16:51:15,3
4,2022-07-05 16:51:16,2022-07-05 16:51:38,23
5,2022-07-05 16:51:39,2022-07-05 16:52:00,22
6,2022-07-05 16:52:01,2022-07-05 16:52:13,13
7,2022-07-05 16:52:14,2022-07-05 16:52:16,3
5,2022-07-05 16:52:17,2022-07-05 16:52:53,37
4,2022-07-05 16:52:54,2022-07-05 16:53:37,44
3,2022-07-05 16:53:38,2022-07-05 16:53:39,2
2,2022-07-05 16:53:40,2022-07-05 16:54:27,48
3,2022-07-05 16:54:28,2022-07-05 16:55:30,63
5,2022-07-05 16:55:31,2022-07-05 16:55:33,3
4,2022-07-05 16:55:34,2022-07-05 16:55:58,25
5,2022-07-05 16:55:59,2022-07-05 16:57:20,82
4,2022-07-05 16:57:21,2022-07-05 16:57:21,1
3,2022-07-05 16:57:22,2022-07-05 16:57:36,15
2,2022-07-05 16:57:37,2022-07-05 16:57:55,19
3,2022-07-05 16:57:56,2022-07-05 16:59:37,102
2,2022-07-05 16:59:38,2022-07-05 17:00:19,42
3,2022-07-05 17:00:20,2022-07-05 17:00:32,13
2,2022-07-05 17:00:33,2022-07-05 17:01:19,47
3,2022-07-05 17:01:20,2022-07-05 17:01:20,1
2,2022-07-05 17:01:21,2022-07-05 17:03:01,101
3,2022-07-05 17:03:02,2022-07-05 17:03:17,16
4,2022-07-05 17:03:18,2022-07-05 17:03:21,4
3,2022-07-05 17:03:22,2022-07-05 17:03:30,9
2,2022-07-05 17:03:31,2022-07-05 17:03:42,12
3,2022-07-05 17:03:43,2022-07-05 17:03:43,1
4,2022-07-05 17:03:44,2022-07-05 17:03:46,3
3,2022-07-05 17:03:47,2022-07-05 17:04:12,26
4,2022-07-05 17:04:13,2022-07-05 17:05:22,70
3,2022-07-05 17:05:23,2022-07-05 17:06:17,55
4,2022-07-05 17:06:18,2022-07-05 17:09:19,182
5,2022-07-05 17:09:20,2022-07-05 17:10:01,42
4,2022-07-05 17:10:02,2022-07-05 17:10:12,11
5,2022-07-05 17:10:13,2022-07-05 17:10:13,1
6,2022-07-05 17:10:14,2022-07-05 17:10:45,32
5,2022-07-05 17:10:46,2022-07-05 17:11:19,34
6,2022-07-05 17:11:20,2022-07-05 17:11:20,1
7,2022-07-05 17:11:21,2022-07-05 17:11:21,1
6,2022-07-05 17:11:22,2022-07-05 17:12:35,74
5,2022-07-05 17:12:36,2022-07-05 17:13:49,74
6,2022-07-05 17:13:50,2022-07-05 17:16:04,135
7,2022-07-05 17:16:05,2022-07-05 17:17:31,87
8,2022-07-05 17:17:32,2022-07-05 17:18:00,29
7,2022-07-05 17:18:01,2022-07-05 17:18:14,14
6,2022-07-05 17:18:15,2022-07-05 17:18:46,32
7,2022-07-05 17:18:47,2022-07-05 17:18:55,9
6,2022-07-05 17:18:56,2022-07-05 17:19:21,26
5,2022-07-05 17:19:22,2022-07-05 17:20:11,50
6,2022-07-05 17:20:12,2022-07-05 17:21:24,73
5,2022-07-05 17:21:25,2022-07-05 17:22:17,53
4,2022-07-05 17:22:18,2022-07-05 17:22:28,11
5,2022-07-05 17:22:29,2022-07-05 17:22:46,18
4,2022-07-05 17:22:47,2022-07-05 17:22:51,5
3,2022-07-05 17:22:52,2022-07-05 17:24:21,90
4,2022-07-05 17:24:22,2022-07-05 17:24:23,2
3,2022-07-05 17:24:24,2022-07-05 17:24:32,9
4,2022-07-05 17:24:33,2022-07-05 17:24:33,1
3,2022-07-05 17:24:34,2022-07-05 17:25:11,38
4,2022-07-05 17:25:12,2022-07-05 17:25:12,1
3,2022-07-05 17:25:13,2022-07-05 17:25:41,29
4,2022-07-05 17:25:42,2022-07-05 17:25:43,2
3,2022-07-05 17:25:44,2022-07-05 17:26:48,65
2,2022-07-05 17:26:49,2022-07-05 17:27:35,47
1,2022-07-05 17:27:36,2022-07-05 17:27:50,15
2,2022-07-05 17:27:51,2022-07-05 17:31:20,210
3,2022-07-05 17:31:21,2022-07-05 17:33:13,113
4,2022-07-05 17:33:14,2022-07-05 17:33:14,1
5,2022-07-05 17:33:15,2022-07-05 17:33:16,2
4,2022-07-05 17:33:17,2022-07-05 17:33:36,20
5,2022-07-05 17:33:37,2022-07-05 17:33:54,18
6,2022-07-05 17:33:55,2022-07-05 17:34:09,15
5,2022-07-05 17:34:10,2022-07-05 17:35:09,60
4,2022-07-05 17:35:10,2022-07-05 17:35:44,35
5,2022-07-05 17:35:45,2022-07-05 17:36:12,28
4,2022-07-05 17:36:13,2022-07-05 17:36:53,41
