occupants,timeStart,timeEnd,duration
2,2022-07-05 14:07:11,2022-07-05 14:07:49,38
1,2022-07-05 14:11:28,2022-07-05 14:15:45,257
2,2022-07-05 14:15:46,2022-07-05 14:20:04,258
1,2022-07-05 14:19:29,2022-07-05 14:23:12,223
0,2022-07-05 14:20:49,2022-07-05 14:22:09,80
1,2022-07-05 14:22:36,2022-07-05 14:24:23,107
2,2022-07-05 14:24:28,2022-07-05 14:26:20,112
1,2022-07-05 14:26:50,2022-07-05 14:29:12,142
2,2022-07-05 14:27:49,2022-07-05 14:28:48,59
3,2022-07-05 14:29:18,2022-07-05 14:30:47,89
4,2022-07-05 14:29:26,2022-07-05 14:29:34,8
3,2022-07-05 14:29:46,2022-07-05 14:30:06,20
2,2022-07-05 14:29:53,2022-07-05 14:30:00,7
3,2022-07-05 14:29:54,2022-07-05 14:29:55,1
4,2022-07-05 14:29:59,2022-07-05 14:30:04,5
5,2022-07-05 14:30:06,2022-07-05 14:30:13,7
4,2022-07-05 14:30:07,2022-07-05 14:30:08,1
3,2022-07-05 14:30:19,2022-07-05 14:30:31,12
4,2022-07-05 14:31:32,2022-07-05 14:32:45,73
1,2022-07-05 14:31:33,2022-07-05 14:31:34,1
0,2022-07-05 14:33:49,2022-07-05 14:36:05,136
1,2022-07-05 14:40:14,2022-07-05 14:46:39,385
2,2022-07-05 14:40:17,2022-07-05 14:40:20,3
1,2022-07-05 14:43:22,2022-07-05 14:46:27,185
0,2022-07-05 14:45:09,2022-07-05 14:46:56,107
1,2022-07-05 14:46:02,2022-07-05 14:46:55,53
2,2022-07-05 14:46:29,2022-07-05 14:46:56,27
1,2022-07-05 14:47:05,2022-07-05 14:47:41,36
2,2022-07-05 14:47:23,2022-07-05 14:47:41,18
3,2022-07-05 14:47:29,2022-07-05 14:47:35,6
2,2022-07-05 14:47:48,2022-07-05 14:48:07,19
3,2022-07-05 14:48:04,2022-07-05 14:48:20,16
2,2022-07-05 14:48:24,2022-07-05 14:48:44,20
3,2022-07-05 14:48:30,2022-07-05 14:48:36,6
4,2022-07-05 14:48:49,2022-07-05 14:49:08,19
5,2022-07-05 14:49:07,2022-07-05 14:49:25,18
